Razon_Social,Telefono,Email,Nombre_producto,Cantidad_Stock
"Frigorifico San Antonio SRL",3512031478,frigorificosanantonio@gmail.com,"Tapa de Asado",3
"Frigorifico San Antonio SRL",3512031478,frigorificosanantonio@gmail.com,Paleta,4
"Frigorifico San Antonio SRL",3512031478,frigorificosanantonio@gmail.com,Osobuco,4
"760 Bebidas SAS",3514685077,760bebidas@gmail.com,"Coca Cola Original 2,25L",10
"760 Bebidas SAS",3514685077,760bebidas@gmail.com,"Coca Cola Zero 2,25L",12
"Nuevo Aviccat SRL",3834024678,nuevoaviccat@yahoo.com,Pollo,30
"Nuevo Aviccat SRL",3834024678,nuevoaviccat@yahoo.com,Pechuga,20
"Nuevo Aviccat SRL",3834024678,nuevoaviccat@yahoo.com,"Pata Muslo",20
"Nuevo Aviccat SRL",3834024678,nuevoaviccat@yahoo.com,Alita,10
"Cuesta del Portezuelo SA",3834784541,cuestadelportezuelo@gmail.com,"Dulce de Membrillo 2Kg",7
"Cuesta del Portezuelo SA",3834784541,cuestadelportezuelo@gmail.com,"Dulce de Batata 2Kg",8
"Mirta Gimenez",3834611475,mirti78@hotmail.com,"Tamales x Docena",30
"Mirta Gimenez",3834611475,mirti78@hotmail.com,"Humitas x Docena",25
